,File Name,Difficulty,Target,Original Count,Sub-sample Count,Sampled Ids
0,FloorPlan_Train3_1.json.gz,medium,AlarmClock,78,4,"[47, 114, 92, 56]"
1,FloorPlan_Train3_1.json.gz,easy,AlarmClock,39,2,"[24, 64]"
2,FloorPlan_Train3_1.json.gz,hard,AlarmClock,33,2,"[20, 32]"
3,FloorPlan_Train3_1.json.gz,hard,Apple,95,5,"[153, 273, 186, 250, 285]"
4,FloorPlan_Train3_1.json.gz,medium,Apple,42,3,"[193, 173, 286]"
5,FloorPlan_Train3_1.json.gz,easy,Apple,13,1,[211]
6,FloorPlan_Train3_1.json.gz,easy,BaseballBat,13,1,[441]
7,FloorPlan_Train3_1.json.gz,hard,BaseballBat,81,5,"[342, 395, 340, 303, 371]"
8,FloorPlan_Train3_1.json.gz,medium,BaseballBat,56,3,"[314, 327, 339]"
9,FloorPlan_Train3_1.json.gz,medium,BasketBall,84,5,"[452, 501, 485, 511, 546]"
10,FloorPlan_Train3_1.json.gz,hard,BasketBall,28,2,"[576, 560]"
11,FloorPlan_Train3_1.json.gz,easy,BasketBall,38,2,"[536, 572]"
12,FloorPlan_Train3_1.json.gz,easy,Bowl,38,2,"[621, 635]"
13,FloorPlan_Train3_1.json.gz,medium,Bowl,83,5,"[748, 615, 616, 655, 637]"
14,FloorPlan_Train3_1.json.gz,hard,Bowl,29,2,"[717, 653]"
15,FloorPlan_Train3_1.json.gz,medium,GarbageCan,46,3,"[791, 866, 855]"
16,FloorPlan_Train3_1.json.gz,hard,GarbageCan,86,5,"[894, 808, 759, 869, 763]"
17,FloorPlan_Train3_1.json.gz,easy,GarbageCan,18,1,[868]
18,FloorPlan_Train3_1.json.gz,medium,HousePlant,63,4,"[937, 955, 940, 941]"
19,FloorPlan_Train3_1.json.gz,easy,HousePlant,77,4,"[942, 979, 958, 1023]"
20,FloorPlan_Train3_1.json.gz,hard,HousePlant,10,1,[956]
21,FloorPlan_Train3_1.json.gz,hard,Laptop,85,5,"[1188, 1189, 1122, 1190, 1087]"
22,FloorPlan_Train3_1.json.gz,medium,Laptop,47,3,"[1058, 1166, 1068]"
23,FloorPlan_Train3_1.json.gz,easy,Laptop,18,1,[1135]
24,FloorPlan_Train3_1.json.gz,medium,Mug,48,3,"[1245, 1239, 1205]"
25,FloorPlan_Train3_1.json.gz,easy,Mug,33,2,"[1252, 1204]"
26,FloorPlan_Train3_1.json.gz,hard,Mug,69,4,"[1256, 1268, 1209, 1277]"
27,FloorPlan_Train3_1.json.gz,medium,SprayBottle,74,4,"[1361, 1395, 1433, 1368]"
28,FloorPlan_Train3_1.json.gz,hard,SprayBottle,50,3,"[1382, 1455, 1488]"
29,FloorPlan_Train3_1.json.gz,easy,SprayBottle,26,2,"[1482, 1464]"
30,FloorPlan_Train3_1.json.gz,hard,Television,92,5,"[1645, 1642, 1561, 1564, 1512]"
31,FloorPlan_Train3_1.json.gz,medium,Television,38,2,"[1649, 1596]"
32,FloorPlan_Train3_1.json.gz,easy,Television,20,1,[1515]
33,FloorPlan_Train3_1.json.gz,hard,Vase,62,4,"[1744, 1779, 1650, 1798]"
34,FloorPlan_Train3_1.json.gz,easy,Vase,19,1,[1794]
35,FloorPlan_Train3_1.json.gz,medium,Vase,69,4,"[1795, 1776, 1655, 1654]"
0,FloorPlan_Train4_2.json.gz,medium,AlarmClock,82,5,"[46, 23, 101, 19, 116]"
1,FloorPlan_Train4_2.json.gz,easy,AlarmClock,32,2,"[88, 91]"
2,FloorPlan_Train4_2.json.gz,hard,AlarmClock,36,2,"[106, 55]"
3,FloorPlan_Train4_2.json.gz,hard,Apple,75,4,"[214, 282, 217, 231]"
4,FloorPlan_Train4_2.json.gz,medium,Apple,65,4,"[158, 194, 245, 284]"
5,FloorPlan_Train4_2.json.gz,easy,Apple,10,1,[280]
6,FloorPlan_Train4_2.json.gz,medium,BaseballBat,68,4,"[341, 411, 320, 400]"
7,FloorPlan_Train4_2.json.gz,hard,BaseballBat,48,3,"[363, 416, 422]"
8,FloorPlan_Train4_2.json.gz,easy,BaseballBat,34,2,"[344, 448]"
9,FloorPlan_Train4_2.json.gz,hard,BasketBall,57,3,"[460, 459, 522]"
10,FloorPlan_Train4_2.json.gz,easy,BasketBall,23,2,"[483, 482]"
11,FloorPlan_Train4_2.json.gz,medium,BasketBall,70,4,"[484, 594, 579, 553]"
12,FloorPlan_Train4_2.json.gz,easy,Bowl,26,2,"[707, 631]"
13,FloorPlan_Train4_2.json.gz,hard,Bowl,76,4,"[659, 678, 656, 716]"
14,FloorPlan_Train4_2.json.gz,medium,Bowl,48,3,"[616, 722, 741]"
15,FloorPlan_Train4_2.json.gz,hard,GarbageCan,83,5,"[829, 801, 777, 848, 809]"
16,FloorPlan_Train4_2.json.gz,medium,GarbageCan,48,3,"[781, 822, 885]"
17,FloorPlan_Train4_2.json.gz,easy,GarbageCan,19,1,[835]
18,FloorPlan_Train4_2.json.gz,easy,HousePlant,37,2,"[1004, 946]"
19,FloorPlan_Train4_2.json.gz,hard,HousePlant,73,4,"[1020, 1011, 1000, 949]"
20,FloorPlan_Train4_2.json.gz,medium,HousePlant,40,2,"[952, 941]"
21,FloorPlan_Train4_2.json.gz,medium,Laptop,53,3,"[1160, 1050, 1087]"
22,FloorPlan_Train4_2.json.gz,easy,Laptop,47,3,"[1152, 1063, 1141]"
23,FloorPlan_Train4_2.json.gz,hard,Laptop,50,3,"[1115, 1158, 1180]"
24,FloorPlan_Train4_2.json.gz,easy,Mug,36,2,"[1203, 1299]"
25,FloorPlan_Train4_2.json.gz,hard,Mug,66,4,"[1349, 1246, 1259, 1326]"
26,FloorPlan_Train4_2.json.gz,medium,Mug,48,3,"[1319, 1249, 1206]"
27,FloorPlan_Train4_2.json.gz,medium,SprayBottle,56,3,"[1488, 1394, 1450]"
28,FloorPlan_Train4_2.json.gz,hard,SprayBottle,64,4,"[1460, 1363, 1464, 1484]"
29,FloorPlan_Train4_2.json.gz,easy,SprayBottle,30,2,"[1413, 1388]"
30,FloorPlan_Train4_2.json.gz,medium,Television,57,3,"[1552, 1563, 1570]"
31,FloorPlan_Train4_2.json.gz,hard,Television,76,4,"[1509, 1534, 1625, 1560]"
32,FloorPlan_Train4_2.json.gz,easy,Television,17,1,[1647]
33,FloorPlan_Train4_2.json.gz,medium,Vase,94,5,"[1654, 1772, 1659, 1734, 1714]"
34,FloorPlan_Train4_2.json.gz,easy,Vase,40,2,"[1760, 1742]"
35,FloorPlan_Train4_2.json.gz,hard,Vase,16,1,[1710]
0,FloorPlan_Train7_4.json.gz,medium,AlarmClock,72,4,"[111, 137, 5, 57]"
1,FloorPlan_Train7_4.json.gz,hard,AlarmClock,38,2,"[10, 38]"
2,FloorPlan_Train7_4.json.gz,easy,AlarmClock,40,2,"[103, 94]"
3,FloorPlan_Train7_4.json.gz,medium,Apple,83,5,"[196, 186, 171, 235, 265]"
4,FloorPlan_Train7_4.json.gz,easy,Apple,43,3,"[159, 174, 251]"
5,FloorPlan_Train7_4.json.gz,hard,Apple,24,2,"[254, 276]"
6,FloorPlan_Train7_4.json.gz,medium,BaseballBat,89,5,"[318, 361, 446, 362, 326]"
7,FloorPlan_Train7_4.json.gz,hard,BaseballBat,31,2,"[331, 433]"
8,FloorPlan_Train7_4.json.gz,easy,BaseballBat,30,2,"[401, 399]"
9,FloorPlan_Train7_4.json.gz,easy,BasketBall,18,1,[456]
10,FloorPlan_Train7_4.json.gz,medium,BasketBall,58,3,"[519, 490, 511]"
11,FloorPlan_Train7_4.json.gz,hard,BasketBall,74,4,"[495, 460, 568, 469]"
12,FloorPlan_Train7_4.json.gz,hard,Bowl,92,5,"[718, 740, 663, 632, 735]"
13,FloorPlan_Train7_4.json.gz,medium,Bowl,38,2,"[687, 749]"
14,FloorPlan_Train7_4.json.gz,easy,Bowl,20,1,[683]
15,FloorPlan_Train7_4.json.gz,hard,GarbageCan,84,5,"[826, 774, 796, 867, 847]"
16,FloorPlan_Train7_4.json.gz,medium,GarbageCan,33,2,"[770, 840]"
17,FloorPlan_Train7_4.json.gz,easy,GarbageCan,33,2,"[771, 801]"
18,FloorPlan_Train7_4.json.gz,hard,HousePlant,104,6,"[943, 1008, 984, 960, 989, 907]"
19,FloorPlan_Train7_4.json.gz,easy,HousePlant,19,1,[1048]
20,FloorPlan_Train7_4.json.gz,medium,HousePlant,27,2,"[965, 952]"
21,FloorPlan_Train7_4.json.gz,hard,Laptop,121,7,"[1132, 1188, 1151, 1157, 1199, 1185, 1161]"
22,FloorPlan_Train7_4.json.gz,medium,Laptop,17,1,[1108]
23,FloorPlan_Train7_4.json.gz,easy,Laptop,12,1,[1169]
24,FloorPlan_Train7_4.json.gz,medium,Mug,73,4,"[1235, 1265, 1200, 1341]"
25,FloorPlan_Train7_4.json.gz,easy,Mug,49,3,"[1339, 1255, 1213]"
26,FloorPlan_Train7_4.json.gz,hard,Mug,28,2,"[1347, 1277]"
27,FloorPlan_Train7_4.json.gz,hard,SprayBottle,35,2,"[1426, 1497]"
28,FloorPlan_Train7_4.json.gz,medium,SprayBottle,93,5,"[1418, 1363, 1367, 1463, 1488]"
29,FloorPlan_Train7_4.json.gz,easy,SprayBottle,22,2,"[1483, 1432]"
30,FloorPlan_Train7_4.json.gz,easy,Television,38,2,"[1521, 1520]"
31,FloorPlan_Train7_4.json.gz,medium,Television,66,4,"[1633, 1570, 1626, 1623]"
32,FloorPlan_Train7_4.json.gz,hard,Television,46,3,"[1511, 1600, 1592]"
33,FloorPlan_Train7_4.json.gz,medium,Vase,74,4,"[1658, 1655, 1790, 1793]"
34,FloorPlan_Train7_4.json.gz,hard,Vase,43,3,"[1767, 1759, 1719]"
35,FloorPlan_Train7_4.json.gz,easy,Vase,33,2,"[1660, 1694]"
0,FloorPlan_Train7_1.json.gz,hard,AlarmClock,38,2,"[140, 138]"
1,FloorPlan_Train7_1.json.gz,medium,AlarmClock,73,4,"[40, 43, 120, 23]"
2,FloorPlan_Train7_1.json.gz,easy,AlarmClock,39,2,"[3, 113]"
3,FloorPlan_Train7_1.json.gz,hard,Apple,93,5,"[207, 150, 167, 177, 284]"
4,FloorPlan_Train7_1.json.gz,easy,Apple,25,2,"[235, 273]"
5,FloorPlan_Train7_1.json.gz,medium,Apple,32,2,"[234, 224]"
6,FloorPlan_Train7_1.json.gz,medium,BaseballBat,22,2,"[317, 305]"
7,FloorPlan_Train7_1.json.gz,hard,BaseballBat,108,6,"[440, 448, 359, 369, 444, 423]"
8,FloorPlan_Train7_1.json.gz,easy,BaseballBat,20,1,[406]
9,FloorPlan_Train7_1.json.gz,easy,BasketBall,28,2,"[489, 574]"
10,FloorPlan_Train7_1.json.gz,hard,BasketBall,98,5,"[543, 533, 557, 583, 567]"
11,FloorPlan_Train7_1.json.gz,medium,BasketBall,24,2,"[598, 512]"
12,FloorPlan_Train7_1.json.gz,medium,Bowl,72,4,"[725, 616, 692, 696]"
